Rank,Mark,Competitor,Gender,Event,DOB,Nat,Pos,Venue,Date
3246,2:12:51,Steve PLASENCIA,Men,Marathon,28 OCT 1956,USA,4,St. Paul (USA),02 OCT 1994
3246,2:12:51,Luis REYES,Men,Marathon,18 DEC 1968,MEX,6,"Chicago, IL (USA)",15 OCT 1995
3246,2:12:51,Jilo DUBE,Men,Marathon,12 SEP 1970,ETH,1,Wien (AUT),14 APR 1996
3246,2:12:51,Noriaki KIGUCHI,Men,Marathon,30 DEC 1968,JPN,3,Torino (ITA),12 MAY 1996
3246,2:12:51,John KARIUKI,Men,Marathon,13 FEB 1969,KEN,5,"San Diego, CA (USA)",02 JUN 2002
3246,2:12:51,Jimmy HEARLD,Men,Marathon,05 MAR 1968,USA,2,"Austin, TX (USA)",16 FEB 2003
3246,2:12:51,Paulo GOMES,Men,Marathon,15 MAY 1973,POR,3,Praha (CZE),13 MAY 2007
3246,2:12:51,Dieudonné DISI,Men,Marathon,24 APR 1980,RWA,18,Paris (FRA),05 APR 2009
3246,2:12:51,Benjamin KIPROTICH KORIR,Men,Marathon,1976,KEN,7,Mumbai (IND),15 JAN 2012
3246,2:12:51,Fikadu KEBEDE,Men,Marathon,,ETH,7,Hannover (GER),27 APR 2014
3246,2:12:51,Si-Wan NOH,Men,Marathon,06 SEP 1992,KOR,5,Gunsan (KOR),12 APR 2015
3246,2:12:51,Florent CAELEN,Men,Marathon,01 MAR 1989,BEL,17,Berlin (GER),27 SEP 2015
3262,2:12:52,Alexandre GONZALEZ,Men,Marathon,16 MAR 1951,FRA,5,Huy (BEL),30 APR 1988
3262,2:12:52,Alexandre RACHIDE,Men,Marathon,02 SEP 1960,FRA,2,Paris (FRA),16 SEP 1990
3262,2:12:52,Tadao UCHIKOSHI,Men,Marathon,30 OCT 1965,JPN,8,Rotterdam (NED),17 APR 1994
3262,2:12:52,Juvenal RIBEIRO,Men,Marathon,09 MAR 1964,POR,8,Berlin (GER),25 SEP 1994
3262,2:12:52,Michael MUKOMA,Men,Marathon,05 MAY 1964,KEN,6,Roma (ITA),29 MAR 1998
3262,2:12:52,David MUTUA,Men,Marathon,1976,KEN,2,"Honolulu, HI (USA)",13 DEC 2004
3262,2:12:52,Jacob Ptuyot CHAMER,Men,Marathon,01 NOV 1982,KEN,2,Santiago de Chile (CHI),11 APR 2010
3262,2:12:52,Agnesius MAIYO,Men,Marathon,1984,KEN,4,Münster (GER),12 SEP 2010
3262,2:12:52,Michael CHEMCHIR,Men,Marathon,1977,KEN,4,Verona (ITA),20 FEB 2011
3262,2:12:52,Peter Lemayian NKAYA,Men,Marathon,10 OCT 1987,KEN,1,Santiago de Chile (CHI),01 APR 2012
3262,2:12:52,Beyenne SOBOKA,Men,Marathon,1987,ETH,2,Riga (LAT),17 MAY 2015
3262,2:12:52,Edwin Kipchom KIMUTAI,Men,Marathon,1984,KEN,3,Brescia (ITA),13 MAR 2016
3262,2:12:52,Daniel KIPTOO,Men,Marathon,,KEN,10,Zhengzhou (CHN),26 MAR 2017
3262,2:12:52,Zakaria BOUDAD,Men,Marathon,02 OCT 1993,MAR,4,Beijing (CHN),17 SEP 2017
3262,2:12:52,Shadrack KIMAIYO,Men,Marathon,1992,KEN,2,Nairobi (KEN),26 NOV 2017
3262,2:12:52,Hermano FERREIRA,Men,Marathon,16 NOV 1982,POR,43,Sevilla (ESP),20 FEB 2022
3262,2:12:52,Edward GODDARD,Men,Marathon,24 OCT 1997,AUS,8,Gold Coast (AUS),02 JUL 2023
3279,2:12:53,Pablo GARRIDO,Men,Marathon,22 JUN 1938,MEX,4,Fukuoka (JPN),07 DEC 1969
3279,2:12:53,Michael SPÖTTEL,Men,Marathon,30 JAN 1956,FRG,7,"Houston, TX (USA)",15 JAN 1984
3279,2:12:53,Joseph KIPSANG,Men,Marathon,25 SEP 1962,KEN,1,"Duluth, MN (USA)",21 JUN 1986
3279,2:12:53,Jacques LEFRAND,Men,Marathon,16 MAY 1952,FRA,7,"Neckarstadion, Stuttgart (GER)",30 AUG 1986
3279,2:12:53,Igor BRASLAVSKIY,Men,Marathon,19 AUG 1959,URS,2,Mogilyov (URS),07 JUN 1987
3279,2:12:53,Elisio RIOS,Men,Marathon,03 APR 1961,POR,9,"Chicago, IL (USA)",30 OCT 1988
3279,2:12:53,Kenneth STUART,Men,Marathon,15 FEB 1957,GBR,15,London (GBR),23 APR 1989
3279,2:12:53,Patrick KOATSANE,Men,Marathon,22 NOV 1966,RSA,11,Paris (FRA),09 APR 2000
3279,2:12:53,Dickson MARWA MKAMI,Men,Marathon,09 MAR 1982,TAN,1,Brisbane (AUS),06 JUL 2003
3279,2:12:53,Eric GEROME,Men,Marathon,04 FEB 1969,BEL,10,Eindhoven (NED),12 OCT 2003
3279,2:12:53,Alfredo AREVALO,Men,Marathon,20 DEC 1976,GUA,3,Ottawa (CAN),30 MAY 2004
3279,2:12:53,Michael NGAASEKE,Men,Marathon,07 APR 1976,ZIM,15,Berlin (GER),26 SEP 2004
3279,2:12:53,Ping HE,Men,Marathon,02 JUL 1986,CHN,10,Beijing (CHN),18 OCT 2009
3279,2:12:53,Joseph MWANIKI,Men,Marathon,29 NOV 1988,KEN,6,Tokyo (JPN),28 FEB 2010
3279,2:12:53,Ji-hoon SUNG,Men,Marathon,21 MAR 1991,KOR,13,Seoul (KOR),17 MAR 2013
3279,2:12:53,Samuel KARANI,Men,Marathon,30 SEP 1986,KEN,2,Graz (AUT),14 OCT 2018
3279,2:12:53,Daniel Nderitu GATHERU,Men,Marathon,1983,KEN,4,Venezia (ITA),27 OCT 2019
3279,2:12:53,Andrey LEYMAN,Men,Marathon,13 APR 1987,RUS,1,Sochi (RUS),03 APR 2021
3279,2:12:53,Ben TRUE,Men,Marathon,29 DEC 1985,USA,7,"New York, NY (USA)",07 NOV 2021
3279,2:12:53,Chala BEYO,Men,Marathon,18 JAN 1996,ETH,8,Riyadh (KSA),10 FEB 2024
3299,2:12:54,Franco FAVA,Men,Marathon,03 SEP 1952,ITA,2,Reggio Emilia (ITA),25 APR 1976
3299,2:12:54,Ivan KOVALCHUK,Men,Marathon,03 AUG 1954,URS,6,Moskva (URS),24 MAY 1980
