Rank,Mark,Competitor,Gender,Event,DOB,Nat,Pos,Venue,Date
1123,2:09:10,Silas Kipngetich SANG,Men,Marathon,21 AUG 1978,KEN,2,Nagano (JPN),15 APR 2012
1123,2:09:10,Suehiro ISHIKAWA,Men,Marathon,27 SEP 1979,JPN,6,Otsu (JPN),03 MAR 2013
1123,2:09:10,Masanori SAKAI,Men,Marathon,30 JUN 1986,JPN,12,Tokyo (JPN),23 FEB 2014
1123,2:09:10,Dereje ADUGNA,Men,Marathon,02 JUN 2000,ETH,9,Marrakech (MAR),26 JAN 2020
1123,2:09:10,Edwin Cheruiyot SOI,Men,Marathon,03 MAR 1986,KEN,6,Wien (AUT),24 APR 2022
1123,2:09:10,Emmanuel KIPCHUMBA,Men,Marathon,01 OCT 1996,KEN,2,Lisboa (POR),06 OCT 2024
1133,2:09:11,Joaquim PINHEIRO,Men,Marathon,20 DEC 1960,POR,3,Otsu (JPN),02 MAR 1997
1133,2:09:11,Masaki OYA,Men,Marathon,11 JUL 1966,JPN,8,Rotterdam (NED),20 APR 1997
1133,2:09:11,Akira SHIMIZU,Men,Marathon,30 AUG 1976,JPN,1,Oita (JPN),01 FEB 1998
1133,2:09:11,Rachid EL GHANMOUNI,Men,Marathon,10 APR 1978,MAR,6,Paris (FRA),09 APR 2006
1133,2:09:11,Oleksandr SITKOVSKIY,Men,Marathon,09 JUN 1978,UKR,3,Marrakech (MAR),25 JAN 2015
1133,2:09:11,Abebaw DESALEW,Men,Marathon,,ETH,11,Dubai (UAE),07 JAN 2024
1133,2:09:11,Masashi NONAKA,Men,Marathon,10 NOV 1995,JPN,20,Osaka (JPN),25 FEB 2024
1140,2:09:12,Ian THOMPSON,Men,Marathon,16 OCT 1949,GBR,1,Christchurch (NZL),31 JAN 1974
1140,2:09:12,Rodolfo GÓMEZ,Men,Marathon,30 OCT 1950,MEX,3,Tokyo (JPN),13 FEB 1983
1140,2:09:12,Michael CHEGE,Men,Marathon,15 NOV 1991,KEN,3,Ljubljana (SLO),23 OCT 2011
1140,2:09:12,Tomoyuki MORITA,Men,Marathon,08 JUL 1984,JPN,5,Otsu (JPN),04 MAR 2012
1140,2:09:12,Hiroaki SANO,Men,Marathon,28 FEB 1988,JPN,9,Tokyo (JPN),22 FEB 2015
1140,2:09:12,Hiroyuki YAMAMOTO,Men,Marathon,30 APR 1986,JPN,10,Tokyo (JPN),26 FEB 2017
1140,2:09:12,Edwin KIMAIYO,Men,Marathon,1986,KEN,4,Shanghai (CHN),12 NOV 2017
1140,2:09:12,Ryo HASHIMOTO,Men,Marathon,26 SEP 1993,JPN,3,Hofu (JPN),04 DEC 2022
1148,2:09:13,Antonio SERRANO,Men,Marathon,08 MAR 1965,ESP,3,Berlin (GER),25 SEP 1994
1148,2:09:13,Julius Kiplagat KORIR,Men,Marathon,10 JAN 1982,KEN,2,Enschede (NED),22 APR 2012
1148,2:09:13,Laban Kipkemoi MOIBEN,Men,Marathon,30 OCT 1983,KEN,1,Ottawa (CAN),27 MAY 2012
1148,2:09:13,Victor LEGAT,Men,Marathon,1985,KEN,5,Köln (GER),14 OCT 2012
1148,2:09:13,Benjamin Kipngetich BITOK,Men,Marathon,17 SEP 1980,KEN,3,Roma (ITA),02 APR 2017
1148,2:09:13,Pheeha MOKGOBO,Men,Marathon,23 NOV 1988,RSA,21,Valencia (ESP),06 DEC 2020
1148,2:09:13,Takumi KIYOTANI,Men,Marathon,24 JAN 1989,JPN,30,Otsu (JPN),28 FEB 2021
1155,2:09:14,José Isidro RICO,Men,Marathon,15 MAY 1961,MEX,3,Kyongju (KOR),20 MAR 1994
1155,2:09:14,Ashebir Jate DEMISSIE,Men,Marathon,1977,ETH,5,Rotterdam (NED),13 APR 2003
1155,2:09:14,Takayuki MATSUMIYA,Men,Marathon,21 FEB 1980,JPN,9,Tokyo (JPN),24 FEB 2013
1155,2:09:14,Weldu Negash GEBRETSADIK,Men,Marathon,12 NOV 1986,ETH,5,Rotterdam (NED),13 APR 2014
1155,2:09:14,Seboka NEGUSSE,Men,Marathon,07 JAN 1989,ETH,6,Amsterdam (NED),18 OCT 2015
1155,2:09:14,Kohei FUTAOKA,Men,Marathon,05 FEB 1994,JPN,7,Fukuoka (JPN),05 DEC 2021
1155,2:09:14,Elisha Kiprop BARNO,Men,Marathon,1985,KEN,1,"Duluth, MN (USA)",17 JUN 2023
1162,2:09:15,Paul Malakwen KOSGEI,Men,Marathon,22 APR 1978,KEN,8,Paris (FRA),06 APR 2008
1162,2:09:15,Kedir Fikadu KASSA,Men,Marathon,1984,ETH,4,Roma (ITA),21 MAR 2010
1162,2:09:15,Madoka TANIHARA,Men,Marathon,04 JUL 1993,JPN,31,Otsu (JPN),28 FEB 2021
1162,2:09:15,Deribe TEFERA,Men,Marathon,,ETH,21,Siena (ITA),11 APR 2021
1166,2:09:16,Allister HUTTON,Men,Marathon,18 JUL 1954,GBR,3,London (GBR),21 APR 1985
1166,2:09:16,Salvador GARCÍA,Men,Marathon,29 OCT 1960,MEX,1,Rotterdam (NED),05 APR 1992
1166,2:09:16,Leonid SHVETSOV,Men,Marathon,28 MAR 1969,RUS,3,Praha (CZE),25 MAY 1997
1166,2:09:16,Takashi HORIGUCHI,Men,Marathon,26 SEP 1979,JPN,6,Otsu (JPN),04 MAR 2012
1166,2:09:16,Tewelde ESTIFANOS,Men,Marathon,02 OCT 1987,ERI,7,Frankfurt (GER),25 OCT 2015
1166,2:09:16,Hisanori KITAJIMA,Men,Marathon,16 OCT 1984,JPN,2,Otsu (JPN),06 MAR 2016
1166,2:09:16,Henry Kipsigei CHIRCHIR,Men,Marathon,14 MAY 1985,KEN,5,Wien (AUT),07 APR 2019
1166,2:09:16,Zach PANNING,Men,Marathon,29 MAR 1995,USA,10,"Chicago, IL (USA)",13 OCT 2024
1174,2:09:17,Yakov TOLSTIKOV,Men,Marathon,20 MAY 1959,URS,1,London (GBR),21 APR 1991
1174,2:09:17,Abraham LIMO,Men,Marathon,10 DEC 1963,KEN,2,Amsterdam (NED),15 OCT 2000
1174,2:09:17,Mark STEINLE,Men,Marathon,22 NOV 1974,GBR,8,London (GBR),14 APR 2002
1174,2:09:17,Mathew SIGEI,Men,Marathon,1982,KEN,1,Brescia (ITA),09 MAR 2003
1174,2:09:17,Ronald Kipchumba RUTTO,Men,Marathon,08 OCT 1987,KEN,7,Frankfurt (GER),31 OCT 2010
1174,2:09:17,Isaac TOROITICH KOSGEI,Men,Marathon,1981,KEN,1,Enschede (NED),21 APR 2013
1174,2:09:17,Eric TIROP,Men,Marathon,19 MAY 1987,KEN,9,Linz (AUT),23 OCT 2022
1181,2:09:18,Germán SILVA,Men,Marathon,09 JAN 1968,MEX,3,London (GBR),17 APR 1994
1181,2:09:18,Guangyu HU,Men,Marathon,04 DEC 1970,CHN,1,Beijing (CHN),04 OCT 1997
1181,2:09:18,Takeshi HAMANO,Men,Marathon,30 JUL 1974,JPN,5,Otsu (JPN),03 MAR 2002
1181,2:09:18,Yuko MATSUMIYA,Men,Marathon,21 FEB 1980,JPN,5,Otsu (JPN),06 MAR 2005
1181,2:09:18,Mikel Kiprotich MUTAI,Men,Marathon,20 NOV 1987,KEN,16,Dubai (UAE),27 JAN 2012
1181,2:09:18,Benjamin NGANDU,Men,Marathon,21 MAR 1990,KEN,10,Tokyo (JPN),22 FEB 2015
1181,2:09:18,Therence BIZOZA,Men,Marathon,01 JAN 2004,BDI,12,Amsterdam (NED),15 OCT 2023
1181,2:09:18,Isaac Kipkemboi TOO,Men,Marathon,12 NOV 1994,KEN,2,Buenos Aires (ARG),22 SEP 2024
1181,2:09:18,Andreu BLANES,Men,Marathon,14 OCT 1991,ESP,29,Valencia (ESP),01 DEC 2024
1190,2:09:19,Mathew KIPSAAT,Men,Marathon,23 MAR 1987,KEN,4,Roma (ITA),02 APR 2017
1190,2:09:19,Haruki MINATOYA,Men,Marathon,25 APR 1996,JPN,8,Oita (JPN),02 FEB 2020
1190,2:09:19,Alene BELAY,Men,Marathon,11 SEP 2000,ETH,8,Dubai (UAE),12 FEB 2023
1190,2:09:19,Debessay DESALE,Men,Marathon,11 DEC 1988,ERI,7,Shanghai (CHN),26 NOV 2023
1194,2:09:20,Paul KIOS KANGOGO,Men,Marathon,04 APR 1989,KEN,3,Roma (ITA),08 APR 2018
1194,2:09:20,Mathew Sang KIBIWOT,Men,Marathon,1986,KEN,3,Málaga (ESP),11 DEC 2022
1194,2:09:20,Elvis Kipchoge CHEBOI,Men,Marathon,29 SEP 1995,KEN,1,Toronto (CAN),15 OCT 2023
1194,2:09:20,Abraham CHEROBEN,Men,Marathon,11 OCT 1992,BRN,12,Hamburg (GER),28 APR 2024
1194,2:09:20,Mohamed CHAABOUD,Men,Marathon,30 JUL 1989,MAR,1,Aveiro (POR),28 APR 2024
1194,2:09:20,Edwin KIBICHIY,Men,Marathon,02 APR 1992,KEN,9,Amsterdam (NED),20 OCT 2024
1200,2:09:21,Alberto SALAZAR,Men,Marathon,07 AUG 1958,USA,5,Fukuoka (JPN),04 DEC 1983
