Rank,Mark,Competitor,Gender,Event,DOB,Nat,Pos,Venue,Date
1834,2:32:29,Sayo NOMURA,Women,Marathon,18 APR 1989,JPN,9,Osaka (JPN),26 JAN 2014
1838,2:32:30,Renata WALENDZIAK,Women,Marathon,18 JAN 1950,POL,1,Debno (POL),06 APR 1986
1838,2:32:30,Irina YAGODINA,Women,Marathon,24 APR 1964,URS,3,Tallinn (EST),26 JUN 1988
1838,2:32:30,Ningning MA,Women,Marathon,20 SEP 1976,CHN,5,Beijing (CHN),30 OCT 1994
1838,2:32:30,Mayumi KUMAGAI,Women,Marathon,22 MAR 1968,JPN,6,Beijing (CHN),09 OCT 1999
1842,2:32:31,Emily CHEPKORIR,Women,Marathon,07 JUL 1985,KEN,3,Nairobi (KEN),30 OCT 2011
1843,2:32:33,Romy SPITZMÜLLER,Women,Marathon,19 SEP 1981,GER,1,Bonn (GER),04 APR 2004
1843,2:32:33,Tanith MAXWELL,Women,Marathon,02 JUN 1976,RSA,8,Berlin (GER),26 SEP 2010
1845,2:32:34,Yelena SIPATOVA,Women,Marathon,07 JUN 1955,URS,9,Mogilyov (URS),07 JUN 1987
1845,2:32:34,Sadako HAYAKAWA,Women,Marathon,10 APR 1967,JPN,4,Nagoya (JPN),01 MAR 1992
1845,2:32:34,Tigist ABIDI,Women,Marathon,09 MAY 1986,ETH,3,Zürich (SUI),07 APR 2013
1848,2:32:35,Ursula JEITZINER,Women,Marathon,14 MAR 1972,SUI,5,Paris (FRA),06 APR 1997
1848,2:32:35,Kim JONG HYANG,Women,Marathon,07 FEB 1987,PRK,8,Pyongyang (PRK),08 APR 2007
1848,2:32:35,Silvia WEISSTEINER,Women,Marathon,13 JUL 1979,ITA,1,Torino (ITA),04 OCT 2015
1848,2:32:35,Shaoqing GENG,Women,Marathon,29 MAY 1993,CHN,2,Zhengzhou (CHN),27 MAR 2016
1848,2:32:35,Tori PARKINSON,Women,Marathon,,USA,9,"Duluth, MN (USA)",17 JUN 2023
1853,2:32:36,Bente MOE,Women,Marathon,02 DEC 1960,NOR,1,Frankfurt (GER),25 OCT 1992
1853,2:32:36,Selina CHIRCHIR,Women,Marathon,08 AUG 1968,KEN,3,"Houston, TX (USA)",21 JAN 1996
1853,2:32:36,Asami OBI,Women,Marathon,22 MAR 1976,JPN,8,Beijing (CHN),16 OCT 2005
1853,2:32:36,Sanae ACHAHBAR,Women,Marathon,14 MAR 1985,MAR,4,Marrakech (MAR),29 JAN 2017
1857,2:32:37,Susan HOBSON,Women,Marathon,13 MAR 1958,AUS,10,Osaka (JPN),30 JAN 2000
1857,2:32:37,Jeannette FABER,Women,Marathon,28 APR 1982,USA,1,St. Paul (USA),07 OCT 2012
1857,2:32:37,Melissa WHITE,Women,Marathon,15 APR 1982,USA,8,"Chicago, IL (USA)",13 OCT 2013
1857,2:32:37,Sarah PORTER,Women,Marathon,22 AUG 1989,USA,6,"Chicago, IL (USA)",07 OCT 2018
1857,2:32:37,Jhoselyn CAMARGO,Women,Marathon,21 JUL 1996,BOL,15,Amsterdam (NED),15 OCT 2023
1862,2:32:38,Daria NAUER,Women,Marathon,21 MAY 1966,SUI,8,Berlin (GER),26 SEP 1999
1862,2:32:38,Estela NAVASCUES,Women,Marathon,03 FEB 1981,ESP,1,San Sebastián (ESP),24 NOV 2013
1864,2:32:39,Sachie YAMADA,Women,Marathon,10 APR 1972,JPN,13,Osaka (JPN),28 JAN 1996
1864,2:32:39,Anna PICHRTOVÁ,Women,Marathon,19 MAY 1973,CZE,2,"Duluth, MN (USA)",22 JUN 2002
1864,2:32:39,Kaoru NISHI,Women,Marathon,28 NOV 1983,JPN,9,Nagoya (JPN),13 MAR 2005
1864,2:32:39,Flora KANDIE,Women,Marathon,29 SEP 1978,KEN,4,Roma (ITA),16 MAR 2008
1864,2:32:39,Midred Kiminy CHEBOSIS,Women,Marathon,23 DEC 1985,KEN,3,Zhengzhou (CHN),31 MAR 2013
1864,2:32:39,Laila SOUFYANE,Women,Marathon,04 AUG 1983,ITA,7,Valencia (ESP),15 NOV 2015
1864,2:32:39,Sydney DEVORE,Women,Marathon,27 SEP 1991,USA,1,"Pittsburgh, PA (USA)",06 MAY 2018
1871,2:32:40,Katy LAETSCH,Women,Marathon,19 OCT 1956,USA,1,"Sacramento, CA (USA)",02 DEC 1984
1871,2:32:40,Mi-kyung KIM,Women,Marathon,19 FEB 1967,KOR,6,Seoul (KOR),11 APR 1987
1871,2:32:40,Wei LI,Women,Marathon,29 JUN 1972,CHN,13,Tianjin (CHN),04 APR 1993
1871,2:32:40,Jackie FAIRWEATHER,Women,Marathon,10 NOV 1967,AUS,9,Nagoya (JPN),14 MAR 2004
1871,2:32:40,Emma STALLARD,Women,Marathon,04 APR 1970,GBR,7,Frankfurt (GER),26 OCT 2014
1871,2:32:40,Alexis ZEIS,Women,Marathon,,USA,16,"Chandler, AZ (USA)",20 DEC 2020
1871,2:32:40,Jana SOETHOUT,Women,Marathon,28 DEC 1989,GER,29,Berlin (GER),24 SEP 2023
1871,2:32:40,Adela HONORATO,Women,Marathon,08 DEC 2004,MEX,35,Sevilla (ESP),18 FEB 2024
1871,2:32:40,Heather SEAWARD,Women,Marathon,1990,GBR,36,Sevilla (ESP),18 FEB 2024
1880,2:32:41,Chun-Yu TSAO,Women,Marathon,05 NOV 1991,TPE,4,Taipei City (TPE),20 DEC 2020
1880,2:32:41,Brittney FEIVOR,Women,Marathon,17 OCT 1994,USA,6,"Houston, TX (USA)",16 JAN 2022
1882,2:32:42,Xiu-xia LI,Women,Marathon,08 SEP 1967,CHN,4,Tianjin (CHN),29 MAR 1987
1882,2:32:42,Mary ALICO,Women,Marathon,18 MAY 1963,USA,1,"Duluth, MN (USA)",22 JUN 1996
1882,2:32:42,Lili YIN,Women,Marathon,11 NOV 1979,CHN,1,Dalian (CHN),27 OCT 1996
1882,2:32:42,Miki TANAKA,Women,Marathon,16 FEB 1974,JPN,12,Nagoya (JPN),09 MAR 1997
1882,2:32:42,Stephanie PEZZULLO,Women,Marathon,29 MAY 1982,USA,8,"Chicago, IL (USA)",07 OCT 2012
1882,2:32:42,Yevdokiya BUKINA,Women,Marathon,10 FEB 1993,RUS,5,Volgograd (RUS),30 APR 2018
1888,2:32:43,Shoko SHIMIZU,Women,Marathon,13 OCT 1990,JPN,11,Tokyo (JPN),24 FEB 2013
1888,2:32:43,Bo-ra CHOI,Women,Marathon,15 JUL 1991,KOR,6,Seoul (KOR),16 MAR 2014
1888,2:32:43,Abebu GELAN,Women,Marathon,18 JAN 1990,ETH,4,Wuxi (CHN),19 MAR 2017
1891,2:32:44,Aimi HORIKOSHI,Women,Marathon,22 NOV 1987,JPN,9,Nagoya (JPN),14 MAR 2010
1891,2:32:44,Aleksandra MOROZOVA,Women,Marathon,27 FEB 1990,RUS,5,Stockholm (SWE),09 OCT 2021
1891,2:32:44,Gete DUKALE,Women,Marathon,,ETH,7,Rabat (MAR),21 APR 2024
1894,2:32:45,Michaela REGER,Women,Marathon,21 FEB 1969,GER,1,"Sacramento, CA (USA)",03 DEC 1995
1894,2:32:45,Chris JUNKERMAN,Women,Marathon,1972,USA,7,"Chicago, IL (USA)",22 OCT 2000
1894,2:32:45,Hayley CARRUTHERS,Women,Marathon,20 APR 1993,GBR,18,Valencia (ESP),01 DEC 2019
1894,2:32:45,Birhan MULUGOJAM,Women,Marathon,,ETH,9,Mumbai (IND),21 JAN 2024
1894,2:32:45,Sharon JEMUTAI,Women,Marathon,02 MAY 1998,KEN,8,Rabat (MAR),21 APR 2024
1899,2:32:46,Nora Leticia ROCHA,Women,Marathon,18 DEC 1967,MEX,1,Torreón (MEX),03 MAR 2002
1899,2:32:46,Cruz Nonata DA SILVA,Women,Marathon,18 AUG 1974,BRA,7,Wien (AUT),15 APR 2012
