Rank,Mark,Competitor,Gender,Event,DOB,Nat,Pos,Venue,Date
2253,2:33:54,Martha TENORIO,Women,Marathon,06 AUG 1966,ECU,25,"Olympic Stadium, Sydney (AUS)",24 SEP 2000
2253,2:33:54,Saori NEJO,Women,Marathon,16 MAY 1982,JPN,11,Osaka (JPN),31 JAN 2010
2253,2:33:54,Bye-ol AHN,Women,Marathon,16 MAR 1990,KOR,11,Seoul (KOR),18 MAR 2018
2257,2:33:55,Annick LOIR,Women,Marathon,13 JAN 1958,FRA,1,Sydney (AUS),12 JUN 1983
2257,2:33:55,Inga ABITOVA,Women,Marathon,06 MAR 1982,RUS,2,Mumbai (IND),15 JAN 2006
2257,2:33:55,Satoko UETANI,Women,Marathon,02 MAY 1981,JPN,3,Sapporo (JPN),30 AUG 2009
2257,2:33:55,Sharon JEMUTAI,Women,Marathon,02 MAY 1998,KEN,1,Dar-es-Salaam (TAN),14 AUG 2022
2257,2:33:55,Melese BIRHANU,Women,Marathon,12 SEP 1999,ETH,5,Dalian (CHN),15 OCT 2023
2262,2:33:56,Rimma DUBOVIK,Women,Marathon,12 JAN 1964,UKR,4,Hamburg (GER),19 APR 1998
2262,2:33:56,Ayanoa KOZUKA,Women,Marathon,27 OCT 1977,JPN,6,Nagoya (JPN),14 MAR 1999
2262,2:33:56,Joan Nancy ROTICH,Women,Marathon,24 DEC 1987,KEN,2,Münster (GER),08 SEP 2013
2262,2:33:56,Meseret GONFA,Women,Marathon,,ETH,9,Shanghai (CHN),30 OCT 2016
2262,2:33:56,María José CALFILAF,Women,Marathon,03 MAY 1996,CHI,1,Temuco (CHI),07 APR 2024
2267,2:33:57,Nanae SASAKI,Women,Marathon,08 FEB 1956,JPN,1,Nagoya (JPN),03 MAR 1985
2267,2:33:57,Eri KUROTAKI,Women,Marathon,1979,JPN,1,Ageo (JPN),04 FEB 2001
2269,2:33:58,Chantal LANGLACÉ,Women,Marathon,06 JAN 1955,FRA,1,Lille (FRA),06 SEP 1986
2269,2:33:58,Josefa CRUZ,Women,Marathon,12 MAR 1958,ESP,3,Sevilla (ESP),27 FEB 1994
2269,2:33:58,Tara QUINN-SMITH,Women,Marathon,19 SEP 1979,CAN,4,Ottawa (CAN),25 MAY 2008
2272,2:33:59,Song-Il OK,Women,Marathon,,PRK,11,Pyongyang (PRK),08 APR 2007
2272,2:33:59,Epiphanie NYIRABARAME,Women,Marathon,15 DEC 1981,RWA,25,"Olympiastadion, Berlin (GER)",23 AUG 2009
2272,2:33:59,Nami TANI,Women,Marathon,20 APR 1987,JPN,4,Sapporo (JPN),30 AUG 2009
2272,2:33:59,Kim YON OK,Women,Marathon,,PRK,6,Pyongyang (PRK),08 APR 2012
2272,2:33:59,Eunice MUMBUA KIOKO,Women,Marathon,04 OCT 1987,KEN,2,Münster (GER),10 SEP 2017
2272,2:33:59,Zuolan HUANG,Women,Marathon,02 JUN 1999,CHN,12,Nanjing (CHN),29 NOV 2020
2278,2:34:00,Luci Njeri MUHAMI,Women,Marathon,20 JUN 1978,KEN,2,Monterrey (MEX),16 DEC 2007
2279,2:34:01,Takako HIROSE,Women,Marathon,10 SEP 1970,JPN,8,Nagoya (JPN),14 MAR 1999
2279,2:34:01,Kumi OGURA,Women,Marathon,24 JUN 1985,JPN,15,Nagoya (JPN),10 MAR 2013
2279,2:34:01,Esther ATKINS,Women,Marathon,20 APR 1986,USA,1,St. Paul (USA),05 OCT 2014
2279,2:34:01,Pamela CHEPKOECH,Women,Marathon,1984,KEN,2,Linyi (CHN),15 NOV 2015
2279,2:34:01,Tsedal GEBRETSADIK,Women,Marathon,,ETH,1,Beograd (SRB),15 MAY 2022
2284,2:34:02,Ayumi ISHIKURA,Women,Marathon,13 NOV 1967,JPN,3,Nagoya (JPN),05 MAR 1989
2284,2:34:02,Sara Elizabeth SEDILLO SANCHEZ,Women,Marathon,20 SEP 1976,MEX,2,Torreón (MEX),03 MAR 2002
2284,2:34:02,Monica SILVA,Women,Marathon,25 NOV 1983,POR,8,Hamburg (GER),26 APR 2015
2284,2:34:02,Zinashwork YENEW,Women,Marathon,11 SEP 1993,ETH,4,Cape Town (RSA),16 OCT 2022
2284,2:34:02,Bingjie XU,Women,Marathon,30 JAN 2003,CHN,15,Beijing (CHN),03 NOV 2024
2289,2:34:03,Hong-mei WANG,Women,Marathon,28 JAN 1967,CHN,11,Osaka (JPN),31 JAN 1993
2289,2:34:03,Kaylee FLANAGAN,Women,Marathon,08 MAY 1995,USA,23,Berlin (GER),29 SEP 2024
2291,2:34:04,Kate O'NEILL,Women,Marathon,29 JUL 1980,USA,9,"Chicago, IL (USA)",12 OCT 2008
2291,2:34:04,Grace WATUA KITONGA,Women,Marathon,,KEN,5,Nairobi (KEN),30 OCT 2011
2291,2:34:04,Yuri NOZOE,Women,Marathon,03 MAY 1996,JPN,20,Nagoya (JPN),08 MAR 2020
2291,2:34:04,Maria Sagnes WÅGAN,Women,Marathon,22 MAY 1992,NOR,26,Sevilla (ESP),19 FEB 2023
2295,2:34:05,Jeannette HEIN,Women,Marathon,17 DEC 1966,GDR,1,Berlin (GER),12 SEP 1987
2295,2:34:05,Eiko YAMAZAKI,Women,Marathon,05 SEP 1971,JPN,16,Nagoya (JPN),09 MAR 1997
2295,2:34:05,Faustina Maria RAMOS,Women,Marathon,28 APR 1971,ESP,4,Rotterdam (NED),21 APR 2002
2295,2:34:05,Yukiko MATSUBARA,Women,Marathon,29 DEC 1987,JPN,18,Osaka (JPN),27 JAN 2008
2295,2:34:05,Odekta Elvina NAIBAHO,Women,Marathon,05 NOV 1991,INA,10,Daegu (KOR),07 APR 2024
2300,2:34:06,Larisa TIMKINA,Women,Marathon,07 DEC 1966,MDA,1,Mainz (GER),06 MAY 2001
