Rank,Mark,Competitor,Gender,Event,DOB,Nat,Pos,Venue,Date
2277,2:33:56,Meseret GONFA,Women,Marathon,,ETH,9,Shanghai (CHN),30 OCT 2016
2277,2:33:56,María José CALFILAF,Women,Marathon,03 MAY 1996,CHI,1,Temuco (CHI),07 APR 2024
2282,2:33:57,Nanae SASAKI,Women,Marathon,08 FEB 1956,JPN,1,Nagoya (JPN),03 MAR 1985
2282,2:33:57,Eri KUROTAKI,Women,Marathon,1979,JPN,1,Ageo (JPN),04 FEB 2001
2284,2:33:58,Chantal LANGLACÉ,Women,Marathon,06 JAN 1955,FRA,1,Lille (FRA),06 SEP 1986
2284,2:33:58,Josefa CRUZ,Women,Marathon,12 MAR 1958,ESP,3,Sevilla (ESP),27 FEB 1994
2284,2:33:58,Tara QUINN-SMITH,Women,Marathon,19 SEP 1979,CAN,4,Ottawa (CAN),25 MAY 2008
2287,2:33:59,Song-Il OK,Women,Marathon,,PRK,11,Pyongyang (PRK),08 APR 2007
2287,2:33:59,Epiphanie NYIRABARAME,Women,Marathon,15 DEC 1981,RWA,25,"Olympiastadion, Berlin (GER)",23 AUG 2009
2287,2:33:59,Nami TANI,Women,Marathon,20 APR 1987,JPN,4,Sapporo (JPN),30 AUG 2009
2287,2:33:59,Kim YON OK,Women,Marathon,,PRK,6,Pyongyang (PRK),08 APR 2012
2287,2:33:59,Eunice MUMBUA KIOKO,Women,Marathon,04 OCT 1987,KEN,2,Münster (GER),10 SEP 2017
2287,2:33:59,Zuolan HUANG,Women,Marathon,02 JUN 1999,CHN,12,Nanjing (CHN),29 NOV 2020
2293,2:34:00,Luci Njeri MUHAMI,Women,Marathon,20 JUN 1978,KEN,2,Monterrey (MEX),16 DEC 2007
2294,2:34:01,Takako HIROSE,Women,Marathon,10 SEP 1970,JPN,8,Nagoya (JPN),14 MAR 1999
2294,2:34:01,Kumi OGURA,Women,Marathon,24 JUN 1985,JPN,15,Nagoya (JPN),10 MAR 2013
2294,2:34:01,Esther ATKINS,Women,Marathon,20 APR 1986,USA,1,St. Paul (USA),05 OCT 2014
2294,2:34:01,Pamela CHEPKOECH,Women,Marathon,1984,KEN,2,Linyi (CHN),15 NOV 2015
2294,2:34:01,Tsedal GEBRETSADIK,Women,Marathon,,ETH,1,Beograd (SRB),15 MAY 2022
2299,2:34:02,Ayumi ISHIKURA,Women,Marathon,13 NOV 1967,JPN,3,Nagoya (JPN),05 MAR 1989
2299,2:34:02,Sara Elizabeth SEDILLO SANCHEZ,Women,Marathon,20 SEP 1976,MEX,2,Torreón (MEX),03 MAR 2002
